model,pixel_accuracy,mean_class_accuracy,mIoU_all,mIoU_foreground,fwIoU,macro_precision,macro_recall,macro_specificity,macro_f1,macro_dice,loss,cross_entropy,dice_loss,total_parameters,trainable_parameters,model_size_mb,macs_g,approx_flops_g,mean_latency_ms,median_latency_ms,p95_latency_ms,fps,peak_gpu_memory_mb,benchmark_device
BiSeNetV2,0.9246167805989584,0.8427139336357411,0.6572285260454129,0.636701890185776,0.8774508650647298,0.7101736353423957,0.8367230298815365,0.9936111029596505,0.7540934470906384,0.7540934470911232,0.2693752944469452,0.24849596619606018,0.33201324939727783,2088257,2088257,8.012897491455078,1.701748224,3.403496448,4.571247166662336,4.523436500221578,4.860761849840856,218.7586808459852,57.30908203125,cuda
STDCSeg,0.9205231526692709,0.8257551823775228,0.6397225811788544,0.6178368843790661,0.8705470444851433,0.6936428185208813,0.8183497682496396,0.9932882301904139,0.7374807671599969,0.737480767160482,0.294372022151947,0.2755863666534424,0.3507287800312042,8263815,8263815,31.56289291381836,1.149722624,2.299445248,4.380166516633229,4.333949999818287,4.72862269966754,228.30182281943016,110.06005859375,cuda
DDRNet23Slim,0.9196946004231771,0.8156082817992337,0.6285888780428256,0.6059311474608916,0.8699899975415959,0.6853682524525287,0.8074676782232343,0.9932217958309425,0.7257731564365711,0.7257731564370539,0.29865458607673645,0.280894935131073,0.3519337773323059,2305370,2305370,8.824073791503906,0.80448576,1.60897152,6.093968583354581,6.047306500022387,6.469075400718793,164.09667794012887,53.09130859375,cuda
