model,total_parameters,trainable_parameters,model_size_mb,macs_g,approx_flops_g,mean_latency_ms,median_latency_ms,p95_latency_ms,fps,peak_gpu_memory_mb,benchmark_device
BiSeNetV2,2088257,2088257,8.012897491455078,1.701748224,3.403496448,4.571247166662336,4.523436500221578,4.860761849840856,218.7586808459852,57.30908203125,cuda
DDRNet23Slim,2305370,2305370,8.824073791503906,0.80448576,1.60897152,6.093968583354581,6.047306500022387,6.469075400718793,164.09667794012887,53.09130859375,cuda
STDCSeg,8263815,8263815,31.56289291381836,1.149722624,2.299445248,4.380166516633229,4.333949999818287,4.72862269966754,228.30182281943016,110.06005859375,cuda
